Local time,Open,High,Low,Close,Volume
16.05.2003 01:00:00.000 GMT+0800,1.31421,1.32621,1.31062,1.32383,113371.2774
16.05.2003 05:00:00.000 GMT+0800,1.32371,1.32566,1.32216,1.32237,31459.6997
16.05.2003 09:00:00.000 GMT+0800,1.32235,1.32256,1.32011,1.32082,32190.2998
16.05.2003 13:00:00.000 GMT+0800,1.32085,1.32341,1.31983,1.32124,32388.4004
16.05.2003 17:00:00.000 GMT+0800,1.32122,1.32192,1.31083,1.31100,30851.999499999998
16.05.2003 21:00:00.000 GMT+0800,1.31095,1.31156,1.30540,1.30935,88935.2495
17.05.2003 01:00:00.000 GMT+0800,1.30925,1.31027,1.30589,1.30667,113964.7012
17.05.2003 05:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
17.05.2003 09:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
17.05.2003 13:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
17.05.2003 17:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
17.05.2003 21:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 01:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 05:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 09:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 13:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 17:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
18.05.2003 21:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
19.05.2003 01:00:00.000 GMT+0800,1.30667,1.30667,1.30667,1.30667,0
19.05.2003 05:00:00.000 GMT+0800,1.30645,1.30645,1.29522,1.29752,31912.9995
19.05.2003 09:00:00.000 GMT+0800,1.29765,1.29909,1.29308,1.29458,30621.1001
19.05.2003 13:00:00.000 GMT+0800,1.29476,1.29713,1.29304,1.29393,31115
19.05.2003 17:00:00.000 GMT+0800,1.29407,1.29772,1.28926,1.29669,31413.3003
19.05.2003 21:00:00.000 GMT+0800,1.29688,1.30130,1.29302,1.29450,87575.9014
20.05.2003 01:00:00.000 GMT+0800,1.29375,1.29997,1.29222,1.29674,114370.6728
20.05.2003 05:00:00.000 GMT+0800,1.29619,1.30003,1.29597,1.29903,31662.7002
20.05.2003 09:00:00.000 GMT+0800,1.29875,1.29883,1.29545,1.29640,30584.6001
20.05.2003 13:00:00.000 GMT+0800,1.29641,1.30113,1.29344,1.29990,31169
20.05.2003 17:00:00.000 GMT+0800,1.29912,1.30341,1.29604,1.29870,32731.0747
20.05.2003 21:00:00.000 GMT+0800,1.29888,1.30011,1.29159,1.29351,87547.69870000001
21.05.2003 01:00:00.000 GMT+0800,1.29290,1.29471,1.28944,1.29103,114844.5742
