Local time,Open,High,Low,Close,Volume
01.01.2004 06:00:00.000 GMT+0800,1.25931,1.26052,1.24698,1.25454,423555.7995000001
02.01.2004 06:00:00.000 GMT+0800,1.25436,1.26282,1.25214,1.25832,1114731.6017
03.01.2004 06:00:00.000 GMT+0800,1.25832,1.25832,1.25832,1.25832,0
04.01.2004 06:00:00.000 GMT+0800,1.25832,1.25832,1.25832,1.25832,0
05.01.2004 06:00:00.000 GMT+0800,1.25832,1.26935,1.25795,1.26753,1117097.5000999998
06.01.2004 06:00:00.000 GMT+0800,1.26736,1.28093,1.26666,1.27256,1123617
07.01.2004 06:00:00.000 GMT+0800,1.27244,1.27417,1.26230,1.26322,1112493.3984
08.01.2004 06:00:00.000 GMT+0800,1.26306,1.27796,1.25590,1.27661,1113789.4981000002
09.01.2004 06:00:00.000 GMT+0800,1.27653,1.28676,1.27034,1.28149,1120310.2929
10.01.2004 06:00:00.000 GMT+0800,1.28149,1.28149,1.28149,1.28149,0
11.01.2004 06:00:00.000 GMT+0800,1.28149,1.28149,1.28149,1.28149,0
12.01.2004 06:00:00.000 GMT+0800,1.28538,1.28971,1.27342,1.27493,1108321.6992
13.01.2004 06:00:00.000 GMT+0800,1.27473,1.27957,1.27119,1.27714,1114197.4042999998
14.01.2004 06:00:00.000 GMT+0800,1.27736,1.27878,1.26296,1.26473,1123340.8046000001
15.01.2004 06:00:00.000 GMT+0800,1.26456,1.26707,1.25614,1.25766,1127465.7928999998
16.01.2004 06:00:00.000 GMT+0800,1.25753,1.26091,1.23504,1.23962,1124796.5938000001
17.01.2004 06:00:00.000 GMT+0800,1.23962,1.23962,1.23962,1.23962,0
18.01.2004 06:00:00.000 GMT+0800,1.23962,1.23962,1.23962,1.23962,0
19.01.2004 06:00:00.000 GMT+0800,1.23676,1.24230,1.23337,1.23478,1132318.1056
20.01.2004 06:00:00.000 GMT+0800,1.23496,1.25952,1.23426,1.25787,1123536.9881999998
21.01.2004 06:00:00.000 GMT+0800,1.25786,1.26710,1.25504,1.26425,1132347.1035000002
22.01.2004 06:00:00.000 GMT+0800,1.26405,1.27485,1.26346,1.27183,1129054.7948
23.01.2004 06:00:00.000 GMT+0800,1.27164,1.27742,1.25631,1.25797,1130601.8046000001
24.01.2004 06:00:00.000 GMT+0800,1.25797,1.25797,1.25797,1.25797,0
25.01.2004 06:00:00.000 GMT+0800,1.25797,1.25797,1.25797,1.25797,0
26.01.2004 06:00:00.000 GMT+0800,1.25742,1.26107,1.24567,1.24575,1123888.2011
27.01.2004 06:00:00.000 GMT+0800,1.24604,1.26517,1.24403,1.26430,1082479.7950000002
28.01.2004 06:00:00.000 GMT+0800,1.26445,1.26618,1.24628,1.24681,1137246.6014999999
29.01.2004 06:00:00.000 GMT+0800,1.24681,1.25265,1.23617,1.24072,1108579.6034999997
