Local time,Open,High,Low,Close,Volume
16.05.2003 01:00:00.000 GMT+0800,1.31431,1.32631,1.31086,1.32413,116613
16.05.2003 05:00:00.000 GMT+0800,1.32441,1.32588,1.32240,1.32261,30939.6997
16.05.2003 09:00:00.000 GMT+0800,1.32251,1.32276,1.32023,1.32112,31342.600100000003
16.05.2003 13:00:00.000 GMT+0800,1.32095,1.32355,1.31998,1.32134,31189
16.05.2003 17:00:00.000 GMT+0800,1.32132,1.32211,1.31093,1.31120,31228.3999
16.05.2003 21:00:00.000 GMT+0800,1.31115,1.31176,1.30550,1.30955,87726.20019999999
17.05.2003 01:00:00.000 GMT+0800,1.30935,1.31047,1.30624,1.30697,112125.998
17.05.2003 05:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
17.05.2003 09:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
17.05.2003 13:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
17.05.2003 17:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
17.05.2003 21:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 01:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 05:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 09:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 13:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 17:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
18.05.2003 21:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
19.05.2003 01:00:00.000 GMT+0800,1.30697,1.30697,1.30697,1.30697,0
19.05.2003 05:00:00.000 GMT+0800,1.30715,1.30715,1.29540,1.29776,31709.000500000002
19.05.2003 09:00:00.000 GMT+0800,1.29781,1.29919,1.29325,1.29488,31439
19.05.2003 13:00:00.000 GMT+0800,1.29486,1.29726,1.29324,1.29423,31703.9009
19.05.2003 17:00:00.000 GMT+0800,1.29417,1.29801,1.28946,1.29689,30838.2007
19.05.2003 21:00:00.000 GMT+0800,1.29708,1.30136,1.29312,1.29470,87348.70019999999
20.05.2003 01:00:00.000 GMT+0800,1.29385,1.30021,1.29226,1.29704,113903.60160000001
20.05.2003 05:00:00.000 GMT+0800,1.29689,1.30028,1.29621,1.29927,30244.0996
20.05.2003 09:00:00.000 GMT+0800,1.29891,1.29903,1.29569,1.29670,31392.500500000002
20.05.2003 13:00:00.000 GMT+0800,1.29651,1.30135,1.29370,1.30020,31268.8999
20.05.2003 17:00:00.000 GMT+0800,1.29922,1.30361,1.29626,1.29890,31273.1001
20.05.2003 21:00:00.000 GMT+0800,1.29908,1.30027,1.29169,1.29371,88965.9966
