Local time,Open,High,Low,Close,Volume
25.07.2017 05:00:00.000 GMT+0800,2760,2781,2450,2471,2303.1557000000003
26.07.2017 05:00:00.000 GMT+0800,2468,2611,2404,2504,2100.5155
27.07.2017 05:00:00.000 GMT+0800,2504,2599,2452,2584,1915.9588999999999
28.07.2017 05:00:00.000 GMT+0800,2584,2836,2584,2756,2557.3471
29.07.2017 05:00:00.000 GMT+0800,2756,2756,2756,2756,0
30.07.2017 05:00:00.000 GMT+0800,2756,2756,2756,2756,0
31.07.2017 05:00:00.000 GMT+0800,2761,2893,2695,2886,2739.7300999999998
01.08.2017 05:00:00.000 GMT+0800,2889,2928,2646,2745,3555.170800000001
02.08.2017 05:00:00.000 GMT+0800,2740,2760,2668,2691,2529.0552999999995
03.08.2017 05:00:00.000 GMT+0800,2691,2806,2650,2783,2238.0139000000004
04.08.2017 05:00:00.000 GMT+0800,2783,2878,2765,2832,2043.6052
05.08.2017 05:00:00.000 GMT+0800,2832,2832,2832,2832,0
06.08.2017 05:00:00.000 GMT+0800,2832,2832,2832,2832,0
07.08.2017 05:00:00.000 GMT+0800,3266,3427,3193,3342,2141.9516
08.08.2017 05:00:00.000 GMT+0800,3343,3489,3341,3447,2522.9366000000005
09.08.2017 05:00:00.000 GMT+0800,3447,3461,3238,3362,2983.3903
10.08.2017 05:00:00.000 GMT+0800,3372,3458,3300,3425,2222.6985000000004
11.08.2017 05:00:00.000 GMT+0800,3425,3590,3404,3588,1676.4107000000004
12.08.2017 05:00:00.000 GMT+0800,3588,3588,3588,3588,0
13.08.2017 05:00:00.000 GMT+0800,3588,3588,3588,3588,0
14.08.2017 05:00:00.000 GMT+0800,4011,4343,3984,4263,2547.4023
15.08.2017 05:00:00.000 GMT+0800,4263,4452,3810,4072,2824.5654999999992
16.08.2017 05:00:00.000 GMT+0800,4072,4355,4059,4352,661.8652
17.08.2017 05:00:00.000 GMT+0800,4325,4479,4185,4332,1676.9383
18.08.2017 05:00:00.000 GMT+0800,4328,4359,4193,4305,688.1314000000001
19.08.2017 05:00:00.000 GMT+0800,4305,4305,4305,4305,0
20.08.2017 05:00:00.000 GMT+0800,4305,4305,4305,4305,0
21.08.2017 05:00:00.000 GMT+0800,4119,4153,3967,3997,2023.4969999999998
22.08.2017 05:00:00.000 GMT+0800,3775,4144,3774,4073,1925.8091
23.08.2017 05:00:00.000 GMT+0800,4073,4265,4020,4134,2083.0338999999994
24.08.2017 05:00:00.000 GMT+0800,4134,4257,4092,4234,2122.2554
25.08.2017 05:00:00.000 GMT+0800,4234,4454,4218,4329,1984.9982000000002
26.08.2017 05:00:00.000 GMT+0800,4329,4329,4329,4329,0
27.08.2017 05:00:00.000 GMT+0800,4329,4329,4329,4329,0
28.08.2017 05:00:00.000 GMT+0800,4366,4370,4191,4340,2018.3154
29.08.2017 05:00:00.000 GMT+0800,4340,4643,4340,4597,2047.6408999999999
